index,pitch_name,loop_len,velocity_hex,command,peak_abs,peak_dbfs,rms_100ms_dbfs,rms_500ms_dbfs,rms_3s_dbfs,attack_ms,decay_db_per_s,spectral_centroid_hz,clipping_count,silence_after_ms
0,loop127,127,0x2000,!N007F2000,19425,-4.542,-15.285,-14.831,-15.105,784.167,0.023,3054.2,0,0.0
1,loop127,127,0x4000,!N007F4000,18305,-5.057,-15.022,-15.369,-15.197,1271.0,-0.041,3291.4,0,0.0
2,loop127,127,0x7fff,!N007F7FFF,17988,-5.209,-16.03,-15.081,-15.28,165.042,-0.197,3182.5,0,0.0
3,A4,106,0x2000,!N006A2000,19924,-4.321,-15.479,-15.437,-15.015,665.625,1.306,3294.0,0,0.0
4,A4,106,0x4000,!N006A4000,17915,-5.244,-14.577,-15.113,-15.205,1641.375,-0.272,3160.3,0,0.0
5,A4,106,0x7fff,!N006A7FFF,18442,-4.993,-14.733,-15.017,-15.207,15.396,0.08,3935.2,0,0.0
6,C5,89,0x2000,!N00592000,18555,-4.94,-15.247,-15.106,-15.252,105.167,0.039,3055.0,0,0.0
7,C5,89,0x4000,!N00594000,17774,-5.313,-15.844,-15.246,-15.346,215.958,0.732,3263.4,0,0.0
8,C5,89,0x7fff,!N00597FFF,21634,-3.606,-15.425,-15.194,-15.224,575.438,0.775,3158.0,0,0.0
9,A5,53,0x2000,!N00352000,18781,-4.834,-15.595,-15.011,-15.209,1460.354,-0.477,3358.1,0,0.0
10,A5,53,0x4000,!N00354000,18304,-5.058,-15.457,-15.12,-15.288,1995.792,-0.689,3243.7,0,0.0
11,A5,53,0x7fff,!N00357FFF,32344,-0.113,-15.88,-14.435,-15.306,1200.375,-1.071,3160.6,0,0.0
12,loop32,32,0x2000,!N00202000,18739,-4.854,-14.732,-15.344,-15.848,331.271,-1.093,3065.5,0,0.0
13,loop32,32,0x4000,!N00204000,19331,-4.584,-16.058,-15.46,-15.28,2834.312,1.131,3270.1,0,0.0
14,loop32,32,0x7fff,!N00207FFF,18805,-4.823,-15.459,-15.096,-15.207,1782.083,-0.052,3101.0,0,0.0
