label,path,duration_s,event_time_s,analysis_start_s,analysis_end_s,noise_median_10ms_rms,peak10_mono_rms,peak50_mono_rms,mono_rms,mono_rms_dbfs,rms_delta_vs_timing_validation_db,mono_peak_abs,mono_peak_dbfs,peak_delta_vs_timing_validation_db,crest_factor,f0_hz,f0_delta_vs_timing_validation_hz,h2_dbc,h3_dbc,h4_dbc,h5_dbc,thd_h2_h10_dbc,l_rms,r_rms,l_minus_r_rms_db,total_clip_samples,decay_0.10s_db,decay_0.25s_db,decay_0.50s_db,decay_1.00s_db,decay_2.00s_db,decay_3.00s_db,decay_5.00s_db,decay_8.00s_db,decay_10.00s_db
phase1_reduced_voice_run1,reports\phase1_reduced_voice_capture_external.wav,11.987,2.55,2.5599791666666665,2.6799791666666666,0.10438298706728896,0.04537402118566743,0.03441268749220959,0.024480402780735832,-32.22362881875507,2.3718861153905917,0.2131805419921875,-13.425048759426108,10.287859496486863,8.708212193303615,435.48860220488933,-0.027780677706402912,-1.7551732976882741,-3.9758652626808297,-9.08228070814977,-15.119887038704247,0.9061809128816898,0.06162584462538463,0.01855595255238874,10.425592625601595,0,-7.00707412570225,-8.264819086973906,-18.111104600538592,-20.670590205888853,-17.198346500704233,-18.793358651457336,-23.465558635246133,-23.556228942286328,nan
phase1_reduced_voice_run2,reports\phase1_reduced_voice_capture_external_run2.wav,11.988,2.55,2.5599791666666665,2.6799791666666666,0.0016948081724099634,0.027630606068749435,0.019398636083416066,0.014657403713791586,-36.67885900130621,-2.0833440671605503,0.0570220947265625,-24.879136655481233,-1.1662283995682607,3.8903270892995,435.53836864481855,0.0219857622228119,-1.715581988550018,-4.0323844916898635,-9.464850438391284,-15.381973785479106,0.8556444318140161,0.015281484071201836,0.01784559008060642,-1.3473075958513485,0,-5.575853242358488,-9.389507166315598,-13.547361457697457,-17.501100577960198,-14.190202161519812,-13.767407141255765,-15.912380945061296,-14.529022334172577,nan
phase1_observability,reports\phase1_observability_validation_capture_external.wav,13.988,2.55,2.5599791666666665,2.6799791666666666,0.0016049946499366793,0.0296615846473776,0.018581545458502647,0.01601520912802695,-35.90934771814228,-1.3138327839966182,0.05975341796875,-24.47274494985198,-0.7598366939390079,3.7310420045767794,435.4442176468983,-0.07216523569741184,-1.0463497694694754,-2.777849192832397,-7.046772071770178,-11.951270719045162,2.026496966497734,0.017938858308624916,0.015837321287147044,1.082261447180293,0,-5.557310616937283,-10.59184753569814,-15.446984200716898,-17.89943411042043,-15.463006161061276,-18.083380423292276,-16.48568928288696,-16.354213365829604,-18.58336648045863
phase1_timing_margin_impl,reports\phase1_timing_margin_audio_capture.wav,14.988,2.15,2.1599791666666666,2.2799791666666667,0.0026881935723472696,0.03670531134473253,0.022657829545100275,0.018487852013680414,-34.66227087664906,-0.06675594250340042,0.06695556640625,-23.484266234420513,0.2286420214924591,3.621597920445547,435.4545656179934,-0.061817264602325395,-1.225718120221419,-3.2143334072320577,-7.736581691374326,-13.098802703483582,1.6630376347071765,0.020542865454419922,0.017874272659412806,1.2086528648299297,0,-6.195958008972806,-11.099151318361042,-17.930937024379247,-17.280869614731394,-19.14531255762007,-19.18604039803385,-17.344623669882424,-19.4965546703911,-19.43817192604986
phase1_timing_margin_validation,reports\phase1_timing_margin_validation_audio_capture.wav,14.987,2.6,2.61,2.73,0.0016037918306832442,0.03861563687606318,0.024953541989926453,0.018630488965257135,-34.59551493414566,0.0,0.065216064453125,-23.71290825591297,0.0,3.50050203055553,435.51638288259574,0.0,-1.5791059105912872,-3.798865289639573,-9.020370067448575,-14.814661063650261,1.073353882702476,0.02052178219682343,0.01823374475296827,1.0267840605281366,0,-6.636366171057585,-11.246592972764653,-19.113921363137717,-16.133424737824072,-17.646139396391554,-20.53179492547781,-16.830510874256795,-17.771182827036327,-16.90699019978303
phase1_two_voice_hardware,reports\phase1_two_voice_hardware_audio_capture.wav,14.984979166666667,3.7,3.71,3.83,0.0024874737925845705,0.041577935685021765,0.03073804274731624,0.023697059456918752,-32.50611083580242,2.0894040983432447,0.0936126708984375,-20.573307271213523,3.139600984699449,3.9503918648060665,435.48457590146114,-0.03180698113459357,-3.8714052773381145,-8.75403219421923,-17.761731535423426,-27.988881207088156,-2.503129054996958,0.023695803949445298,0.023780308747368806,-0.030920818159286857,0,-4.167453571148323,-9.03455292102541,-17.382859456097858,-15.987565699921918,-13.215670683566161,-11.960717573747077,-14.386815394336034,-14.566746912899227,-13.809188567048407
