index,pitch_name,loop_len,velocity_hex,command,peak_abs,peak_dbfs,rms_100ms_dbfs,rms_500ms_dbfs,rms_3s_dbfs,attack_ms,decay_db_per_s,spectral_centroid_hz,clipping_count,silence_after_ms
0,loop127,127,0x2000,!N007F2000,19513,-4.502,-16.445,-15.596,-15.446,354.542,-0.042,3311.2,0,0.0
1,loop127,127,0x4000,!N007F4000,19761,-4.393,-15.502,-15.697,-15.475,2799.875,0.648,3300.9,0,0.0
2,loop127,127,0x7fff,!N007F7FFF,16211,-6.113,-16.035,-15.944,-16.068,2778.917,0.982,5044.2,0,0.0
3,A4,106,0x2000,!N006A2000,18919,-4.771,-15.687,-15.746,-15.432,536.479,0.346,3410.2,0,0.0
4,A4,106,0x4000,!N006A4000,18571,-4.932,-14.535,-15.224,-15.396,533.042,-0.101,3126.6,0,0.0
5,A4,106,0x7fff,!N006A7FFF,18661,-4.89,-16.276,-15.732,-15.455,1279.5,0.349,3267.4,0,0.0
6,C5,89,0x2000,!N00592000,17934,-5.235,-16.21,-15.72,-15.976,279.438,-0.369,3758.4,0,0.0
7,C5,89,0x4000,!N00594000,17453,-5.471,-15.305,-15.551,-15.912,89.021,-0.065,3361.7,0,0.0
8,C5,89,0x7fff,!N00597FFF,19212,-4.637,-16.269,-16.208,-15.872,2892.0,1.111,3209.4,0,0.0
9,A5,53,0x2000,!N00352000,15200,-6.672,-16.115,-16.637,-16.77,55.0,0.14,2990.3,0,0.0
10,A5,53,0x4000,!N00354000,15842,-6.313,-21.253,-21.325,-20.29,2555.0,2.654,3431.4,0,0.0
11,A5,53,0x7fff,!N00357FFF,26405,-1.875,-17.289,-16.96,-17.903,1064.167,0.545,3287.7,0,0.0
12,loop32,32,0x2000,!N00202000,32539,-0.061,-20.127,-20.602,-20.019,703.354,-1.759,3436.9,0,0.0
13,loop32,32,0x4000,!N00204000,32424,-0.091,-17.488,-17.534,-17.6,336.083,-1.354,3381.8,0,0.0
14,loop32,32,0x7fff,!N00207FFF,15247,-6.645,-16.097,-16.174,-15.948,1675.583,-0.233,3080.9,0,0.0
